ENSG00000147443.11	DOK2
ENSG00000272030.1	AL162258.2
ENSG00000075624.12	ACTB
ENSG00000163492.12	CCDC141
ENSG00000174428.15	GTF2IRD2B
ENSG00000167554.13	ZNF610
ENSG00000247373.3	TMED2-DT
ENSG00000221883.2	ARIH2OS
ENSG00000234091.1	AL157392.2
ENSG00000101079.19	NDRG3
ENSG00000083454.20	P2RX5
ENSG00000105639.17	JAK3
ENSG00000252001.1	RNA5SP303
ENSG00000226420.1	IGLV3-4
ENSG00000260517.2	AC009093.2
ENSG00000166147.12	FBN1
ENSG00000103199.12	ZNF500
ENSG00000276759.2	AL353753.1
ENSG00000197471.10	SPN
ENSG00000236756.4	DNAJC9-AS1
ENSG00000221886.3	ZBED8
ENSG00000165626.15	BEND7
ENSG00000143110.10	C1orf162
ENSG00000173726.9	TOMM20
ENSG00000178567.7	EPM2AIP1
ENSG00000174748.17	RPL15
ENSG00000171448.8	ZBTB26
ENSG00000170627.8	GTSF1
ENSG00000111885.6	MAN1A1
ENSG00000265395.1	MIR3944
ENSG00000188322.4	SBK1
ENSG00000239268.2	AC092691.1
ENSG00000183801.6	OLFML1
ENSG00000267583.4	AC007998.3
ENSG00000153283.11	CD96
ENSG00000130775.14	THEMIS2
ENSG00000113119.11	TMCO6
ENSG00000162139.8	NEU3
ENSG00000234753.4	FOXP4-AS1
ENSG00000183248.10	PRR36
ENSG00000181847.10	TIGIT
ENSG00000275302.1	CCL4
ENSG00000141506.12	PIK3R5
ENSG00000198542.12	ITGBL1
ENSG00000162493.15	PDPN
ENSG00000229923.2	AL583803.1
ENSG00000236136.1	ADORA2BP1
ENSG00000115414.17	FN1
ENSG00000205981.5	DNAJC19
ENSG00000253755.1	IGHGP
ENSG00000146666.5	LINC00525
ENSG00000279447.1	AL118508.3
ENSG00000164985.13	PSIP1
ENSG00000163520.12	FBLN2
ENSG00000265933.4	LINC00668
ENSG00000253276.2	CCDC71L
ENSG00000205710.3	C17orf107
ENSG00000114353.15	GNAI2
ENSG00000267002.1	AC060780.1
ENSG00000245849.5	RAD51-AS1
ENSG00000198556.12	ZNF789
ENSG00000114107.7	CEP70
ENSG00000158169.10	FANCC
ENSG00000173258.11	ZNF483
ENSG00000130544.10	ZNF557
ENSG00000131459.11	GFPT2
ENSG00000196329.9	GIMAP5
ENSG00000143889.14	HNRNPLL
ENSG00000270996.1	AC005034.4
ENSG00000008517.15	IL32
ENSG00000237988.3	OR2I1P
ENSG00000090659.16	CD209
ENSG00000087995.14	METTL2A
ENSG00000261135.1	AL137802.2
ENSG00000227148.1	AC069285.2
ENSG00000221018.1	AC136365.1
ENSG00000167083.5	GNGT2
ENSG00000203279.3	AL590705.1
ENSG00000156234.7	CXCL13
ENSG00000160051.10	IQCC
ENSG00000153896.16	ZNF599
ENSG00000106819.10	ASPN
ENSG00000164011.16	ZNF691
ENSG00000152213.3	ARL11
ENSG00000140543.12	DET1
ENSG00000198771.9	RCSD1
ENSG00000196151.9	WDSUB1
ENSG00000165943.4	MOAP1
ENSG00000116852.13	KIF21B
ENSG00000176092.12	CRYBG2
ENSG00000158825.5	CDA
ENSG00000232386.8	AC015712.1
ENSG00000262879.4	AC005670.3
ENSG00000238241.1	CCR12P
ENSG00000251301.5	LINC02384
ENSG00000173372.15	C1QA
ENSG00000127533.3	F2RL3
ENSG00000102879.14	CORO1A
ENSG00000124212.5	PTGIS
ENSG00000146094.12	DOK3
ENSG00000247400.3	DNAJC3-DT
ENSG00000167536.12	DHRS13
ENSG00000172156.3	CCL11
ENSG00000138080.12	EMILIN1
ENSG00000258940.2	AL132639.2
ENSG00000243038.1	AL117692.1
ENSG00000224728.1	IMPDH1P8
ENSG00000122224.16	LY9
ENSG00000147689.15	FAM83A
ENSG00000105329.8	TGFB1
ENSG00000172578.10	KLHL6
ENSG00000281786.1	AL138744.1
ENSG00000168334.8	XIRP1
ENSG00000172724.10	CCL19
ENSG00000211816.2	TRAV38-1
ENSG00000183484.10	GPR132
ENSG00000187116.12	LILRA5
ENSG00000100802.13	C14orf93
ENSG00000164543.5	STK17A
ENSG00000259897.2	FRG2JP
ENSG00000082014.15	SMARCD3
ENSG00000239389.6	PCDHA13
ENSG00000214022.10	REPIN1
ENSG00000167613.14	LAIR1
ENSG00000185818.7	NAT8L
ENSG00000133110.13	POSTN
ENSG00000148848.13	ADAM12
ENSG00000184925.10	LCN12
ENSG00000187955.10	COL14A1
ENSG00000174928.14	C3orf33
ENSG00000250847.1	AC010350.1
ENSG00000145649.7	GZMA
ENSG00000171130.16	ATP6V0E2
ENSG00000177675.7	CD163L1
ENSG00000211751.6	TRBC1
ENSG00000212769.5	HMGN2P8
ENSG00000172243.16	CLEC7A
ENSG00000272692.1	AC010997.4
ENSG00000137077.6	CCL21
ENSG00000196139.10	AKR1C3
ENSG00000179523.4	EIF3J-DT
ENSG00000149131.14	SERPING1
ENSG00000125648.13	SLC25A23
ENSG00000261327.4	AC134312.5
ENSG00000100385.12	IL2RB
ENSG00000157985.16	AGAP1
ENSG00000252446.1	RNU6-405P
ENSG00000274736.3	CCL23
ENSG00000276137.1	MIR6133
ENSG00000137265.13	IRF4
ENSG00000258883.1	NBEAP4
ENSG00000011422.10	PLAUR
ENSG00000279881.1	AC041040.1
ENSG00000064205.9	CCN5
ENSG00000068745.13	IP6K2
ENSG00000211782.2	TRAV8-1
ENSG00000280871.1	AL021918.1
ENSG00000070269.12	TMEM260
ENSG00000144283.20	PKP4
ENSG00000207174.1	SNORD116-15
ENSG00000111731.11	C2CD5
ENSG00000234390.4	USP27X-AS1
ENSG00000158528.10	PPP1R9A
ENSG00000255951.1	AC022364.2
ENSG00000224041.3	IGKV3D-15
ENSG00000112541.12	PDE10A
ENSG00000136244.10	IL6
ENSG00000176900.2	OR51T1
ENSG00000277938.1	AL035252.3
ENSG00000182866.15	LCK
ENSG00000166192.13	SENP8
ENSG00000128655.15	PDE11A
ENSG00000269220.1	LINC00528
ENSG00000113269.12	RNF130
ENSG00000149380.10	P4HA3
ENSG00000275234.1	AC010503.4
ENSG00000010671.14	BTK
ENSG00000211899.6	IGHM
ENSG00000263637.1	AC022035.1
ENSG00000182013.16	PNMA8A
ENSG00000140326.11	CDAN1
ENSG00000130717.11	UCK1
ENSG00000111224.12	PARP11
ENSG00000005486.15	RHBDD2
ENSG00000167840.12	ZNF232
ENSG00000138002.13	IFT172
ENSG00000237765.5	FAM200B
ENSG00000196171.3	OR6K2
ENSG00000112983.16	BRD8
ENSG00000206699.1	Y_RNA
ENSG00000173918.13	C1QTNF1
ENSG00000133627.16	ACTR3B
ENSG00000181374.6	CCL13
ENSG00000115392.10	FANCL
ENSG00000275862.1	AC008622.3
ENSG00000127957.15	PMS2P3
ENSG00000186469.7	GNG2
ENSG00000172236.15	TPSAB1
ENSG00000101916.11	TLR8
ENSG00000173200.11	PARP15
ENSG00000064666.13	CNN2
ENSG00000260077.1	AC104794.3
ENSG00000279329.1	AC020910.6
ENSG00000107562.15	CXCL12
ENSG00000162745.9	OLFML2B
ENSG00000222080.1	AL356310.1
ENSG00000223361.5	FTH1P10
ENSG00000210144.1	MT-TY
ENSG00000168060.13	NAALADL1
ENSG00000186340.13	THBS2
ENSG00000158517.12	NCF1
ENSG00000161381.12	PLXDC1
ENSG00000165898.12	ISCA2
ENSG00000204934.9	ATP6V0E2-AS1
ENSG00000116962.13	NID1
ENSG00000237181.1	PRKAR1B-AS1
ENSG00000172992.10	DCAKD
ENSG00000139620.11	KANSL2
ENSG00000196812.4	ZSCAN16
ENSG00000221944.4	TIGD1
ENSG00000224152.1	AC009506.1
ENSG00000267470.4	ZNF571-AS1
ENSG00000124003.12	MOGAT1
ENSG00000123685.7	BATF3
ENSG00000106823.11	ECM2
ENSG00000241163.6	LINC00877
ENSG00000185670.7	ZBTB3
ENSG00000149968.10	MMP3
ENSG00000165457.12	FOLR2
ENSG00000089012.13	SIRPG
ENSG00000196954.11	CASP4
ENSG00000164488.10	DACT2
ENSG00000136286.13	MYO1G
ENSG00000170458.12	CD14
ENSG00000221867.7	MAGEA3
ENSG00000250802.5	ZBED3-AS1
ENSG00000223923.1	TNS1-AS1
ENSG00000000938.11	FGR
ENSG00000267128.1	RNF157-AS1
ENSG00000278611.1	ZNF426-DT
ENSG00000066117.13	SMARCD1
ENSG00000264127.1	SCML2P1
ENSG00000225151.9	GOLGA2P7
ENSG00000196391.9	ZNF774
ENSG00000088367.19	EPB41L1
ENSG00000143387.11	CTSK
ENSG00000168461.11	RAB31
ENSG00000226158.1	CLCP2
ENSG00000165804.14	ZNF219
ENSG00000238098.7	ABCA17P
ENSG00000198734.9	F5
ENSG00000235034.5	C19orf81
ENSG00000232109.1	VN1R54P
ENSG00000170264.11	FAM161A
ENSG00000265107.2	GJA5
ENSG00000273445.1	AC133644.1
ENSG00000075618.16	FSCN1
ENSG00000196154.10	S100A4
ENSG00000110148.8	CCKBR
ENSG00000171621.12	SPSB1
ENSG00000153012.10	LGI2
ENSG00000188820.11	CALHM6
ENSG00000104894.10	CD37
ENSG00000258708.1	SLC25A21-AS1
ENSG00000123689.5	G0S2
ENSG00000182636.5	NDN
ENSG00000133519.11	ZDHHC8P1
ENSG00000166770.9	ZNF667-AS1
ENSG00000160255.15	ITGB2
ENSG00000125430.7	HS3ST3B1
ENSG00000166529.13	ZSCAN21
ENSG00000266865.5	AC138207.8
ENSG00000176714.9	CCDC121
ENSG00000235488.1	JARID2-AS1
ENSG00000229647.1	MYOSLID
ENSG00000171115.3	GIMAP8
ENSG00000123384.12	LRP1
ENSG00000152784.14	PRDM8
ENSG00000271659.1	AL161729.4
ENSG00000170961.6	HAS2
ENSG00000002016.15	RAD52
ENSG00000164692.16	COL1A2
ENSG00000007341.17	ST7L
ENSG00000118596.10	SLC16A7
ENSG00000186827.9	TNFRSF4
ENSG00000202329.1	RNU6-609P
ENSG00000160963.12	COL26A1
ENSG00000181264.7	TLCD5
ENSG00000128266.8	GNAZ
ENSG00000143196.4	DPT
ENSG00000259736.1	CRTC3-AS1
ENSG00000267575.5	AC006504.5
ENSG00000260314.2	MRC1
ENSG00000150337.12	FCGR1A
ENSG00000110079.15	MS4A4A
ENSG00000154096.12	THY1
ENSG00000169989.2	TIGD4
ENSG00000198783.5	ZNF830
ENSG00000177383.4	MAGEF1
ENSG00000108798.7	ABI3
ENSG00000204387.11	SNHG32
ENSG00000273697.1	AL607148.1
ENSG00000120280.5	CXorf21
ENSG00000175029.15	CTBP2
ENSG00000128656.12	CHN1
ENSG00000134668.11	SPOCD1
ENSG00000113140.9	SPARC
ENSG00000182578.12	CSF1R
ENSG00000279302.1	AC013643.3
ENSG00000169442.7	CD52
ENSG00000184194.5	GPR173
ENSG00000205791.3	LOH12CR2
ENSG00000004777.17	ARHGAP33
ENSG00000105369.8	CD79A
ENSG00000164949.6	GEM
ENSG00000160191.16	PDE9A
ENSG00000011143.15	MKS1
ENSG00000146070.15	PLA2G7
ENSG00000137841.10	PLCB2
ENSG00000142449.11	FBN3
ENSG00000166348.16	USP54
ENSG00000169062.13	UPF3A
ENSG00000133808.4	MICALCL
ENSG00000124216.3	SNAI1
ENSG00000136867.9	SLC31A2
ENSG00000228566.1	AC013287.1
ENSG00000065361.13	ERBB3
ENSG00000114026.20	OGG1
ENSG00000138185.15	ENTPD1
ENSG00000172379.17	ARNT2
ENSG00000134539.15	KLRD1
ENSG00000239226.1	MRPS17P3
ENSG00000245573.6	BDNF-AS
ENSG00000003436.13	TFPI
ENSG00000266546.1	AC137674.2
ENSG00000229589.1	ACVR2B-AS1
ENSG00000166169.15	POLL
ENSG00000114859.13	CLCN2
ENSG00000073861.2	TBX21
ENSG00000108405.3	P2RX1
ENSG00000221909.2	FAM200A
ENSG00000145423.4	SFRP2
ENSG00000121895.7	TMEM156
ENSG00000198286.8	CARD11
ENSG00000183513.7	COA5
ENSG00000169413.2	RNASE6
ENSG00000237513.1	AC007384.1
ENSG00000140263.12	SORD
ENSG00000188227.11	ZNF793
ENSG00000268734.1	AC245128.3
ENSG00000235257.7	ITGA9-AS1
ENSG00000122386.9	ZNF205
ENSG00000185495.9	AC138393.1
ENSG00000234912.8	SNHG20
ENSG00000116649.8	SRM
ENSG00000250102.4	LINC02377
ENSG00000100897.16	DCAF11
ENSG00000152207.6	CYSLTR2
ENSG00000214212.7	C19orf38
ENSG00000118971.6	CCND2
ENSG00000257698.1	GIHCG
ENSG00000255221.2	CARD17
ENSG00000184060.9	ADAP2
ENSG00000167261.12	DPEP2
ENSG00000104960.14	PTOV1
ENSG00000180723.6	OR51A9P
ENSG00000162692.9	VCAM1
ENSG00000149182.13	ARFGAP2
ENSG00000204612.1	FOXB2
ENSG00000196126.9	HLA-DRB1
ENSG00000152377.11	SPOCK1
ENSG00000140057.7	AK7
ENSG00000047230.13	CTPS2
ENSG00000223271.1	Y_RNA
ENSG00000078098.12	FAP
ENSG00000146243.12	IRAK1BP1
ENSG00000261039.2	LINC02544
ENSG00000188659.8	SAXO2
ENSG00000186787.7	SPIN2B
ENSG00000234459.1	AC002064.2
ENSG00000243819.4	RN7SL832P
ENSG00000102098.16	SCML2
